Model Run,mAP50,Precision,Recall,F1 Score
model_C,0.7453603342529167,0.7665417610624763,0.680200880608131,0.7207949299609
model_A,0.7274419962638293,0.7507125033815859,0.6694650931144416,0.707764742754203
model_B,0.46071197975778394,0.5395219476235601,0.453024365915953,0.4925041474428308
